text,intent,maturity_score,entities,category,metadata
"Dis­
solving organizational boundaries that, in turn, lead to the emergence of 
digital ecosystems challenges this notion.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"This flexibility allows 
firms with advanced digital capabilities to expand across industries, 
ultimately broadening competition and dismantling differences among 
industrial sectors.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Options for formulating a digital 
transformation strategy.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital transformation changes how companies 
create value.",Organizational Change,0.16,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Consistently, we address DT of 
the organizational periphery as changes in how the firm creates this value 
at the micro-level through improvements to products and processes via 
digital technology.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"In the digital economy, the literature argues that stand-alone firms 
and their business models are becoming progressively more connected 
through ownership rights, increasing exchange of data, and technolog­
ical infrastructure (Kauffman et al., 2010; Sommarberg & M¨akinen, 
2019).",Et Al,0.14,"[('Kauffman et al.', 'PERSON'), ('2010', 'DATE'), ('Sommarberg & M¨akinen', 'ORG'), ('2019', 'DATE')]",Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital technologies contribute to power and resource shifts within 
and beyond firm organizational boundaries.",others,1.0,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital ecosystems 
The literature on external actors emphasizes that DT leads to the 
emergence of so-called digital ecosystems, which are distinct from dig­
ital platforms.",others,1.0,"[('Digital', 'ORG'), ('DT', 'WORK_OF_ART'), ('platforms', 'TECHNOLOGY')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Being 
lean: How to shape digital transformation in the manufacturing sector.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Organizational processes 
Digital technologies and the growing availability of data create the 
need to adjust processes, particularly when digital innovations are broad 
and affect various business lines (Warner & W¨ager, 2019).",others,4.0,"[('Digital', 'ORG'), ('Warner & W¨ager', 'ORG'), ('2019', 'DATE')]",Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"The emergence of digital ecosystems that often tran­
scend traditional industry structures has accelerated this trend (Koh­
tam¨aki et al., 2020).",Et Al,1.0,"[('al.', 'PERSON'), ('2020', 'DATE')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Simultaneously, the firm’s increasing inter­
connectivity is contributing to the emergence of digital platform eco­
systems that create new value sources and redefine terms that 
traditionally were viewed as lying within singular firms’ control, such as 
competitive advantage and resource management (Jacobides et al., 
2018; Kretschmer et al., 2020; McIntyre et al., 2020; Volberda et al., 
2021).",Et Al,0.14,"[('2018', 'DATE'), ('Kretschmer', 'PERSON'), ('2020', 'DATE'), ('McIntyre', 'PERSON'), ('al.', 'PERSON'), ('2020', 'DATE'), ('Volberda', 'ORG'), ('al.', 'GPE'), ('2021', 'DATE')]",Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Effect of digital transformation on organisational 
performance of SMEs.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Future research needs to investigate 
the phenomenon of organizational powers in the digital economy.",others,1.0,[],Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"The 
distributed model of production can help realize digital technologies’ 
sustainability potential by creating favorable conditions for the devel­
opment of resource-efficient and sustainable manufacturing (Kumar 
et al., 2020).",Et Al,4.0,"[('Kumar', 'GPE'), ('al.', 'PERSON'), ('2020', 'DATE')]",Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital solutions’ functionality and value tend 
to be determined by a network of co-creators, rather than by a single 
firm (Kohtam¨aki et al., 2020).",Et Al,0.14,"[('Digital', 'ORG'), ('Kohtam¨aki', 'ORG'), ('2020', 'DATE')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital servitization is the business trans­
formation of manufacturing firms toward value creation based on 
increasing digital service offerings designed atop physical products 
(Cenamor et al., 2017; Coreynen et al., 2017; Sj¨odin et al., 2020).",Et Al,1.0,"[('Digital', 'ORG'), ('Cenamor', 'PERSON'), ('2017', 'DATE'), ('Coreynen', 'GPE'), ('al.', 'PERSON'), ('2017', 'DATE'), ('Sj¨odin et al.', 'PERSON'), ('2020', 'DATE')]",Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Building dynamic capabilities for digital 
transformation: An ongoing process of strategic renewal.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital transformation: A multidisciplinary reflection and 
research agenda.",Organizational Change,0.16,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"A taxonomy of digital 
intensive sectors.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digitalization and business 
models: Where are we going?",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
